Artifact Type,Program/Capability,App ID,Source Hive,Last Used Start / Last Execution,Registry Path,Key Modified,Raw Hex
DAM,%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p,NgcCtnrSvc,,,ROOT\ControlSet001\Services\NgcCtnrSvc,2019-03-19T04:54:23.650494,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\system32\svchost.exe -k LocalSystemNetworkRestricted -p,NgcSvc,,,ROOT\ControlSet001\Services\NgcSvc,2019-03-19T04:54:23.650494,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,%SystemRoot%\System32\svchost.exe -k NetworkService -p,NlaSvc,,,ROOT\ControlSet001\Services\NlaSvc,2019-03-19T04:53:37.865603,25 53 79 73 74 65 6D 52 6F 6F 74 25 5C 53 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,\SystemRoot\System32\drivers\npsvctrig.sys,npsvctrig,,,ROOT\ControlSet001\Services\npsvctrig,2019-03-19T04:52:27.735021,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 70 73 76 6
DAM,%systemroot%\system32\svchost.exe -k LocalService -p,nsi,,,ROOT\ControlSet001\Services\nsi,2019-03-19T04:53:37.865603,25 73 79 73 74 65 6D 72 6F 6F 74 25 5C 73 79 73 74 65 6D 33 32 5C 73 76 63 68 6F 73 74 2E 65 78 65 2
DAM,system32\drivers\nsiproxy.sys,nsiproxy,,,ROOT\ControlSet001\Services\nsiproxy,2019-03-19T04:53:37.865603,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 73 69 70 72 6F 78 79 2E 73 79 73
DAM,\SystemRoot\System32\drivers\nvdimm.sys,nvdimm,,,ROOT\ControlSet001\Services\nvdimm,2019-03-19T04:52:18.742215,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 76 64 69 6
DAM,System32\drivers\nvraid.sys,nvraid,,,ROOT\ControlSet001\Services\nvraid,2026-03-01T06:34:38.897299,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 76 72 61 69 64 2E 73 79 73
DAM,System32\drivers\nvstor.sys,nvstor,,,ROOT\ControlSet001\Services\nvstor,2026-03-01T06:34:38.897299,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 76 73 74 6F 72 2E 73 79 73
DAM,"""C:\Program Files\Microsoft OneDrive\26.022.0203.0006\OneDriveUpdaterService.exe""",OneDrive Updater Service,,,ROOT\ControlSet001\Services\OneDrive Updater Service,2026-03-03T18:43:50.783736,22 43 3A 5C 50 72 6F 67 72 61 6D 20 46 69 6C 65 73 5C 4D 69 63 72 6F 73 6F 66 74 20 4F 6E 65 44 72 6
